Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Actual_Protein,Actual_Calories,Actual_Fat,Actual_Sat.Fat,Actual_Fiber,Actual_Carbs
Corn grits cooked,1 cup,242,120,8.0,0,0,0.2,27.0,Breads cereals fastfoodgrains,0.03305785123966942,0.49586776859504134,0.0,0.0,0.0008264462809917356,0.1115702479338843
Corn meal,1 cup,118,360,9.0,4,2,1.6,74.0,Breads cereals fastfoodgrains,0.07627118644067797,3.0508474576271185,0.03389830508474576,0.01694915254237288,0.013559322033898306,0.6271186440677966
Crackers,2 med.,14,55,1.0,1,0,0.0,10.0,Breads cereals fastfoodgrains,0.07142857142857142,3.9285714285714284,0.07142857142857142,0.0,0.0,0.7142857142857143
Soda 2 1/2 square,2,11,45,1.0,1,0,0.0,8.0,Breads cereals fastfoodgrains,0.09090909090909091,4.090909090909091,0.09090909090909091,0.0,0.0,0.7272727272727273
Farina,1 cup,238,105,3.0,0,0,8.0,22.0,Breads cereals fastfoodgrains,0.012605042016806723,0.4411764705882353,0.0,0.0,0.03361344537815126,0.09243697478991597
Flour,1 cup,110,460,39.0,22,0,2.9,33.0,Breads cereals fastfoodgrains,0.35454545454545455,4.181818181818182,0.2,0.0,0.026363636363636363,0.3
Wheat (all purpose),1 cup,110,400,12.0,1,0,0.3,84.0,Breads cereals fastfoodgrains,0.10909090909090909,3.6363636363636362,0.00909090909090909,0.0,0.002727272727272727,0.7636363636363637
Wheat (whole),1 cup,120,390,13.0,2,0,2.8,79.0,Breads cereals fastfoodgrains,0.10833333333333334,3.25,0.016666666666666666,0.0,0.02333333333333333,0.6583333333333333
Macaroni,1 cup,140,155,5.0,1,0,0.1,32.0,Breads cereals fastfoodgrains,0.03571428571428571,1.1071428571428572,0.007142857142857143,0.0,0.0007142857142857143,0.22857142857142856
Baked with cheese,1 cup,220,475,18.0,25,24,0.0,44.0,Breads cereals fastfoodgrains,0.08181818181818182,2.159090909090909,0.11363636363636363,0.10909090909090909,0.0,0.2
Muffins,1,48,135,4.0,5,4,0.0,19.0,Breads cereals fastfoodgrains,0.08333333333333333,2.8125,0.10416666666666667,0.08333333333333333,0.0,0.3958333333333333
Noodles,1 cup,160,200,7.0,2,2,0.1,37.0,Breads cereals fastfoodgrains,0.04375,1.25,0.0125,0.0125,0.000625,0.23125
Oatmeal,1 cup,236,150,5.0,3,2,4.6,26.0,Breads cereals fastfoodgrains,0.0211864406779661,0.635593220338983,0.012711864406779662,0.00847457627118644,0.01949152542372881,0.11016949152542373
"Pancakes 4"" diam.",4,108,250,7.0,9,0,0.1,28.0,Breads cereals fastfoodgrains,0.06481481481481481,2.314814814814815,0.08333333333333333,0.0,0.000925925925925926,0.25925925925925924
"Wheat pancakes 4"" diam.",4,108,250,7.0,9,0,0.1,28.0,Breads cereals fastfoodgrains,0.06481481481481481,2.314814814814815,0.08333333333333333,0.0,0.000925925925925926,0.25925925925925924
"Pizza 14"" diam.",1 section,75,180,8.0,6,5,0.0,23.0,Breads cereals fastfoodgrains,0.10666666666666667,2.4,0.08,0.06666666666666667,0.0,0.30666666666666664
Popcorn salted,2 cups,28,152,3.0,7,2,0.5,20.0,Breads cereals fastfoodgrains,0.10714285714285714,5.428571428571429,0.25,0.07142857142857142,0.017857142857142856,0.7142857142857143
Puffed rice,1 cup,14,55,0.0,0,0,0.0,12.0,Breads cereals fastfoodgrains,0.0,3.9285714285714284,0.0,0.0,0.0,0.8571428571428571
Puffed wheat presweetened,1 cup,28,105,1.0,0,0,0.6,26.0,Breads cereals fastfoodgrains,0.03571428571428571,3.75,0.0,0.0,0.02142857142857143,0.9285714285714286
